architecture,run_idx,seed_run,jacobian_norm,cert_rate
latent_only,41,42041,2.305790901184082,0.0
latent_only,42,42042,2.4390604496002197,0.0
latent_only,43,42043,2.2464799880981445,0.0
latent_only,44,42044,2.420661687850952,0.0
latent_only,45,42045,2.3889973163604736,0.0
latent_only,46,42046,2.414213180541992,0.0
latent_only,47,42047,2.266838788986206,0.0
latent_only,48,42048,2.2926249504089355,0.0
latent_only,49,42049,2.354372501373291,0.0
claim_only,0,42000,0.138902485370636,1.0
claim_only,1,42001,0.17745080590248108,1.0
claim_only,2,42002,0.12404204159975052,1.0
claim_only,3,42003,0.12654510140419006,1.0
claim_only,4,42004,0.1414976716041565,1.0
claim_only,5,42005,0.16659921407699585,1.0
claim_only,6,42006,0.14535439014434814,1.0
claim_only,7,42007,0.13722941279411316,1.0
claim_only,8,42008,0.12542656064033508,1.0
claim_only,9,42009,0.1153889149427414,1.0
claim_only,10,42010,0.13395702838897705,1.0
claim_only,11,42011,0.16766512393951416,1.0
claim_only,12,42012,0.13838370144367218,1.0
claim_only,13,42013,0.14125943183898926,1.0
claim_only,14,42014,0.13289225101470947,1.0
claim_only,15,42015,0.14000087976455688,1.0
claim_only,16,42016,0.17073184251785278,1.0
claim_only,17,42017,0.13332071900367737,1.0
claim_only,18,42018,0.15241260826587677,1.0
claim_only,19,42019,0.14504383504390717,1.0
claim_only,20,42020,0.15442654490470886,1.0
claim_only,21,42021,0.12414177507162094,1.0
claim_only,22,42022,0.1522449404001236,1.0
claim_only,23,42023,0.1657748520374298,1.0
claim_only,24,42024,0.158406063914299,1.0
claim_only,25,42025,0.15392814576625824,1.0
claim_only,26,42026,0.1582968831062317,1.0
claim_only,27,42027,0.130506694316864,1.0
claim_only,28,42028,0.17438912391662598,1.0
claim_only,29,42029,0.1380283087491989,1.0
claim_only,30,42030,0.1554015576839447,1.0
claim_only,31,42031,0.1324298232793808,1.0
claim_only,32,42032,0.15489356219768524,1.0
claim_only,33,42033,0.15856628119945526,1.0
claim_only,34,42034,0.1380440592765808,1.0
claim_only,35,42035,0.15513238310813904,1.0
claim_only,36,42036,0.1422341763973236,1.0
claim_only,37,42037,0.14757423102855682,1.0
claim_only,38,42038,0.1581900268793106,1.0
claim_only,39,42039,0.1649574190378189,1.0
claim_only,40,42040,0.13017430901527405,1.0
claim_only,41,42041,0.12950719892978668,1.0
claim_only,42,42042,0.1651298999786377,1.0
claim_only,43,42043,0.15258125960826874,1.0
claim_only,44,42044,0.10973919183015823,1.0
claim_only,45,42045,0.13075444102287292,1.0
claim_only,46,42046,0.15150076150894165,1.0
claim_only,47,42047,0.13429506123065948,1.0
claim_only,48,42048,0.14942175149917603,1.0
claim_only,49,42049,0.1407800316810608,1.0
hybrid_strict,0,42000,2.3062520027160645,1.0
hybrid_strict,1,42001,2.360534191131592,1.0
hybrid_strict,2,42002,2.3206610679626465,1.0
hybrid_strict,3,42003,2.3000118732452393,1.0
hybrid_strict,4,42004,2.3644142150878906,1.0
hybrid_strict,5,42005,2.378129005432129,1.0
hybrid_strict,6,42006,2.38356351852417,1.0
hybrid_strict,7,42007,2.274014711380005,1.0
hybrid_strict,8,42008,2.3618319034576416,1.0
hybrid_strict,9,42009,2.366770029067993,1.0
hybrid_strict,10,42010,2.3257265090942383,1.0
hybrid_strict,11,42011,2.3532683849334717,1.0
hybrid_strict,12,42012,2.3158226013183594,1.0
hybrid_strict,13,42013,2.365760564804077,1.0
hybrid_strict,14,42014,2.325120687484741,1.0
hybrid_strict,15,42015,2.279874563217163,1.0
hybrid_strict,16,42016,2.3075764179229736,1.0
hybrid_strict,17,42017,2.3356761932373047,1.0
hybrid_strict,18,42018,2.276664972305298,1.0
hybrid_strict,19,42019,2.3487131595611572,1.0
hybrid_strict,20,42020,2.3330187797546387,1.0
