entropy_level,conflict_level,run_idx,seed_run,jacobian_norm,output_entropy,m_vide
<<<<<<< HEAD
0.1,0.2,2,42002,0.6954163312911987,1.0629435187101792,0.2
0.1,0.2,3,42003,0.01364029012620449,0.5281923778491696,0.2
0.1,0.2,4,42004,0.048957303166389465,0.57309695847293,0.2
0.1,0.2,5,42005,0.0030491235665977,0.500402472367239,0.2
0.1,0.2,6,42006,0.1529214233160019,0.6777288800988681,0.2
0.1,0.2,7,42007,1.386820076731965e-05,0.5004602966411448,0.2
0.1,0.2,8,42008,0.26998651027679443,1.0640711929268551,0.2
0.1,0.2,9,42009,0.4100220501422882,1.2897503895732099,0.2
0.2,0.2,0,42000,0.010900846682488918,0.5298361214963814,0.2
0.2,0.2,1,42001,0.0007135862833820283,1.0929285448831132,0.2
0.2,0.2,2,42002,0.6675480604171753,1.2114643447883575,0.2
0.2,0.2,3,42003,0.18371368944644928,0.8058527223323515,0.2
0.2,0.2,4,42004,0.29044508934020996,0.794454290858848,0.2
0.2,0.2,5,42005,0.08885139226913452,0.5008907031568153,0.2
0.2,0.2,6,42006,0.45005881786346436,0.9742479044388893,0.2
0.2,0.2,7,42007,0.0068622310645878315,0.5211855089191044,0.2
0.2,0.2,8,42008,0.49920591711997986,1.2315646429398242,0.2
0.2,0.2,9,42009,0.42747390270233154,1.7799538485783855,0.2
0.5,0.2,0,42000,0.31442052125930786,1.2440903458936035,0.2
0.5,0.2,1,42001,0.12340722978115082,1.57053991971411,0.2
0.5,0.2,2,42002,0.4622732400894165,1.8877264257774053,0.2
0.5,0.2,3,42003,0.4403683841228485,1.741323996126001,0.2
0.5,0.2,4,42004,0.5215803384780884,1.1903132757805142,0.2
0.5,0.2,5,42005,0.46603313088417053,0.6917153238047238,0.2
0.5,0.2,6,42006,0.5452483296394348,1.5388302012488047,0.2
0.5,0.2,7,42007,0.27849361300468445,1.2983437525770973,0.2
0.5,0.2,8,42008,0.4148947298526764,1.9829858335538386,0.2
0.5,0.2,9,42009,0.2814532220363617,2.13015949041655,0.2
1.0,0.2,0,42000,0.36599570512771606,2.179456820983477,0.2
1.0,0.2,1,42001,0.40218478441238403,2.108400873195124,0.2
1.0,0.2,2,42002,0.27745306491851807,2.3516802966419585,0.2
1.0,0.2,3,42003,0.2992839813232422,2.346617486092964,0.2
1.0,0.2,4,42004,0.4007643461227417,1.962907769713858,0.2
1.0,0.2,5,42005,0.4987965226173401,1.6638090253436075,0.2
1.0,0.2,6,42006,0.370632529258728,2.1625246040952835,0.2
1.0,0.2,7,42007,0.3524790108203888,2.233005246293334,0.2
1.0,0.2,8,42008,0.2604282796382904,2.421261136638987,0.2
1.0,0.2,9,42009,0.1996624767780304,2.373401214587357,0.2
2.0,0.2,0,42000,0.22102798521518707,2.5462209298946306,0.2
2.0,0.2,1,42001,0.3185642957687378,2.492701706240541,0.2
2.0,0.2,2,42002,0.17405082285404205,2.5682727832261794,0.2
2.0,0.2,3,42003,0.1829168200492859,2.581762585209031,0.2
2.0,0.2,4,42004,0.23458430171012878,2.4834032880851113,0.2
2.0,0.2,5,42005,0.3024863302707672,2.4148622833978814,0.2
2.0,0.2,6,42006,0.21920184791088104,2.511201701034109,0.2
2.0,0.2,7,42007,0.21513406932353973,2.554505838162684,0.2
2.0,0.2,8,42008,0.1695328950881958,2.590558692066624,0.2
2.0,0.2,9,42009,0.14748671650886536,2.554594453721484,0.2
0.05,0.5,0,42000,1.7091295045901234e-10,0.6931472128097338,0.5
0.05,0.5,1,42001,6.058553503584521e-15,0.7354459502407218,0.5
0.05,0.5,2,42002,0.6963182687759399,1.0397336174857503,0.5
0.05,0.5,3,42003,6.403603765647858e-05,0.6932823157072696,0.5
0.05,0.5,4,42004,0.0009383716387674212,0.6946869237866417,0.5
0.05,0.5,5,42005,3.1773981845617527e-06,0.6931472127961367,0.5
0.05,0.5,6,42006,0.010126146487891674,0.7048708068158672,0.5
0.05,0.5,7,42007,5.708502767709511e-11,0.6931472128002147,0.5
0.05,0.5,8,42008,0.030709875747561455,1.0382733155428556,0.5
0.05,0.5,9,42009,0.13421295583248138,0.8288806305754843,0.5
0.1,0.5,0,42000,2.7799867893918417e-05,0.6932270545938314,0.5
0.1,0.5,1,42001,1.153460829073083e-07,0.8810209631302094,0.5
0.1,0.5,2,42002,0.6954163312911987,1.0447353690700398,0.5
0.1,0.5,3,42003,0.01364029012620449,0.7105159050131923,0.5
0.1,0.5,4,42004,0.048957303166389465,0.7385812735273041,0.5
0.1,0.5,5,42005,0.0030491235665977,0.6931472214382688,0.5
0.1,0.5,6,42006,0.1529214233160019,0.8039762228020199,0.5
0.1,0.5,7,42007,1.386820076731965e-05,0.693183356424368,0.5
0.1,0.5,8,42008,0.26998651027679443,1.0454401631540682,0.5
0.1,0.5,9,42009,0.4100220501422882,1.1864896636449107,0.5
0.2,0.5,0,42000,0.010900846682488918,0.7115432425163488,0.5
0.2,0.5,1,42001,0.0007135862833820283,1.0634760064005235,0.5
0.2,0.5,2,42002,0.6675480604171753,1.1375608813413014,0.5
0.2,0.5,3,42003,0.18371368944644928,0.8840536173062976,0.5
0.2,0.5,4,42004,0.29044508934020996,0.8769295984721296,0.5
0.2,0.5,5,42005,0.08885139226913452,0.6934523590196061,0.5
