canal,entropy_level,run_idx,seed_run,jacobian_norm,output_entropy,duration_ms
claim,0.05,3,42003,6.403603765647858e-05,0.00027023177502997136,1.8439292907714844
claim,0.05,4,42004,0.0009383716387674212,0.0030799562172359944,1.9829273223876953
claim,0.05,5,42005,3.1773981845617527e-06,1.6029441920733194e-05,2.0716190338134766
claim,0.05,6,42006,0.010126146487891674,0.023447155329865396,1.940011978149414
claim,0.05,7,42007,5.708502767709511e-11,3.4538776394910686e-08,2.025604248046875
claim,0.05,8,42008,0.030709875747561455,0.08491149478475882,1.8608570098876953
claim,0.05,9,42009,0.13421295583248138,0.2714675807873329,1.5423297882080078
claim,0.1,0,42000,2.7799867893918417e-05,0.00016123347742902564,1.4667510986328125
claim,0.1,1,42001,1.153460829073083e-07,1.0383843395469833e-06,1.8107891082763672
claim,0.1,2,42002,0.6954163312911987,0.7031763789571054,1.4235973358154297
claim,0.1,3,42003,0.01364029012620449,0.034739073920023844,1.5287399291992188
claim,0.1,4,42004,0.048957303166389465,0.09253883362375952,1.4333724975585938
claim,0.1,5,42005,0.0030491235665977,0.008187564018113342,1.7991065979003906
claim,0.1,6,42006,0.1529214233160019,0.22165804085283303,1.367807388305664
claim,0.1,7,42007,1.386820076731965e-05,7.229851011774224e-05,1.356363296508789
claim,0.1,8,42008,0.26998651027679443,0.5178806895884797,1.4209747314453125
claim,0.1,9,42009,0.4100220501422882,0.9879741057215112,1.3239383697509766
claim,0.2,0,42000,0.010900846682488918,0.039502359836383574,1.4138221740722656
claim,0.2,1,42001,0.0007135862833820283,0.0031773781663679414,1.3778209686279297
claim,0.2,2,42002,0.6675480604171753,0.8889432947168783,1.3086795806884766
claim,0.2,3,42003,0.18371368944644928,0.38427895284232433,1.397848129272461
claim,0.2,4,42004,0.29044508934020996,0.4265480378110309,1.3518333435058594
claim,0.2,5,42005,0.08885139226913452,0.13968865098649622,1.325368881225586
claim,0.2,6,42006,0.45005881786346436,0.5923404887703567,1.3682842254638672
claim,0.2,7,42007,0.0068622310645878315,0.025979247138147726,1.5399456024169922
claim,0.2,8,42008,0.49920591711997986,1.011067536046487,1.4035701751708984
claim,0.2,9,42009,0.42747390270233154,1.626816591994017,1.4376640319824219
claim,0.5,0,42000,0.31442052125930786,1.0351398045891438,1.4581680297851562
claim,0.5,1,42001,0.12340722978115082,0.34997199963088044,1.3051033020019531
claim,0.5,2,42002,0.4622732400894165,1.7549639492652642,1.3170242309570312
claim,0.5,3,42003,0.4403683841228485,1.6186097786836176,1.4233589172363281
claim,0.5,4,42004,0.5215803384780884,1.1075275863744034,1.2881755828857422
claim,0.5,5,42005,0.46603313088417053,0.6863741513237652,1.3194084167480469
claim,0.5,6,42006,0.5452483296394348,1.3156359830978814,1.4252662658691406
claim,0.5,7,42007,0.27849361300468445,1.0025491769446422,1.2984275817871094
claim,0.5,8,42008,0.4148947298526764,1.8621555771339893,1.583099365234375
claim,0.5,9,42009,0.2814532220363617,2.1245684108672127,1.31988525390625
claim,1.0,0,42000,0.36599570512771606,2.2063454499628987,1.3096332550048828
claim,1.0,1,42001,0.40218478441238403,1.459559291796313,1.6067028045654297
claim,1.0,2,42002,0.27745306491851807,2.370430218181569,1.3866424560546875
claim,1.0,3,42003,0.2992839813232422,2.390788226868591,1.3818740844726562
claim,1.0,4,42004,0.4007643461227417,1.9768757698275443,1.5320777893066406
claim,1.0,5,42005,0.4987965226173401,1.6551423828535845,1.3806819915771484
claim,1.0,6,42006,0.370632529258728,2.139862173562103,1.3191699981689453
claim,1.0,7,42007,0.3524790108203888,2.202820804889859,1.3725757598876953
claim,1.0,8,42008,0.2604282796382904,2.4273039980847346,1.3561248779296875
claim,1.0,9,42009,0.1996624767780304,2.429253625228867,1.295328140258789
claim,2.0,0,42000,0.22102798521518707,2.6317319791844103,1.378774642944336
claim,2.0,1,42001,0.3185642957687378,2.3838107725216906,1.3685226440429688
claim,2.0,2,42002,0.17405082285404205,2.65074802413805,1.3260841369628906
claim,2.0,3,42003,0.1829168200492859,2.67277908375481,1.4193058013916016
claim,2.0,4,42004,0.23458430171012878,2.548771953164039,1.3821125030517578
claim,2.0,5,42005,0.3024863302707672,2.4432955368545635,1.3039112091064453
claim,2.0,6,42006,0.21920184791088104,2.5841363627851077,1.444101333618164
claim,2.0,7,42007,0.21513406932353973,2.625799517601765,1.3256072998046875
claim,2.0,8,42008,0.1695328950881958,2.66534207012609,1.531839370727539
claim,2.0,9,42009,0.14748671650886536,2.641643487538844,1.3968944549560547
=======
