canal,entropy_level,run_idx,seed_run,jacobian_norm,output_entropy,duration_ms
text,0.2,9,42009,0.0010667884489521384,10.700909614562988,19.757
text,0.2,10,42010,0.0013878779718652368,10.699909210205078,19.915
text,0.2,11,42011,0.0010501578217372298,10.701772689819336,20.851
text,0.2,12,42012,0.0011226567439734936,10.701839447021484,20.893
text,0.2,13,42013,0.0010647631715983152,10.69912338256836,21.027
text,0.2,14,42014,0.0010805695783346891,10.701173782348633,20.648
text,0.2,15,42015,0.0010913722217082977,10.701358795166016,20.794
text,0.2,16,42016,0.0011062825797125697,10.700024604797363,21.225
text,0.2,17,42017,0.0010672888020053506,10.69957160949707,20.906
text,0.2,18,42018,0.0010897871106863022,10.700153350830078,20.919
text,0.2,19,42019,0.0010417411103844643,10.699298858642578,21.065
text,0.2,20,42020,0.0011663353070616722,10.702052116394043,21.073
text,0.2,21,42021,0.0010775231057778,10.700739860534668,21.133
text,0.2,22,42022,0.001101544825360179,10.699588775634766,20.798
text,0.2,23,42023,0.0012308337027207017,10.700113296508789,19.929
text,0.2,24,42024,0.001091113779693842,10.700255393981934,19.568
text,0.2,25,42025,0.0010873698629438877,10.699989318847656,21.617
text,0.2,26,42026,0.001061443705111742,10.699440002441406,19.538
text,0.2,27,42027,0.0011508328607305884,10.700660705566406,20.156
text,0.2,28,42028,0.0010528953280299902,10.699912071228027,19.864
text,0.2,29,42029,0.0010576825588941574,10.701464653015137,20.215
text,0.2,30,42030,0.0011794704478234053,10.701224327087402,20.315
text,0.2,31,42031,0.0010500168427824974,10.70207405090332,19.583
text,0.2,32,42032,0.0011031649773940444,10.70042610168457,19.625
text,0.2,33,42033,0.0010880008339881897,10.699262619018555,19.564
text,0.2,34,42034,0.0010999232763424516,10.700887680053711,19.47
text,0.2,35,42035,0.0010871118865907192,10.699496269226074,19.693
text,0.2,36,42036,0.0010671413037925959,10.70171070098877,19.407
text,0.2,37,42037,0.0011327560059726238,10.700343132019043,19.677
text,0.2,38,42038,0.0010534177999943495,10.70193862915039,19.626
text,0.2,39,42039,0.0010711436625570059,10.702513694763184,20.511
text,0.2,40,42040,0.001199653372168541,10.70139217376709,19.996
text,0.2,41,42041,0.001088605960831046,10.700920104980469,19.715
text,0.2,42,42042,0.0011259926250204444,10.702249526977539,19.785
text,0.2,43,42043,0.0011906385188922286,10.699695587158203,19.473
text,0.2,44,42044,0.0010528619168326259,10.700728416442871,19.577
text,0.2,45,42045,0.0010753725655376911,10.70132064819336,19.616
text,0.2,46,42046,0.0010614764178171754,10.701227188110352,19.607
text,0.2,47,42047,0.0010774699039757252,10.699995994567871,19.539
text,0.2,48,42048,0.0010930681601166725,10.699729919433594,19.476
text,0.2,49,42049,0.0010708555346354842,10.70144271850586,19.506
text,0.5,0,42000,0.0009132188279181719,10.797540664672852,19.692
text,0.5,1,42001,0.0009096208959817886,10.797720909118652,19.449
text,0.5,2,42002,0.0009140392648987472,10.797087669372559,19.401
text,0.5,3,42003,0.0009482624591328204,10.797633171081543,19.511
text,0.5,4,42004,0.0009300876408815384,10.79703140258789,19.686
text,0.5,5,42005,0.0009259828366339207,10.797460556030273,19.526
text,0.5,6,42006,0.0009310232708230615,10.797538757324219,19.408
text,0.5,7,42007,0.0009244864922948182,10.797496795654297,19.608
text,0.5,8,42008,0.0009449209901504219,10.797429084777832,19.663
text,0.5,9,42009,0.0009375394438393414,10.79751968383789,19.509
text,0.5,10,42010,0.0009282509563490748,10.797252655029297,19.613
text,0.5,11,42011,0.0009167313692159951,10.797574996948242,19.574
text,0.5,12,42012,0.0009270554292015731,10.797643661499023,19.724
text,0.5,13,42013,0.0009223624365404248,10.797131538391113,19.725
text,0.5,14,42014,0.0009204369853250682,10.797523498535156,19.567
text,0.5,15,42015,0.0009172671125270426,10.797612190246582,19.705
text,0.5,16,42016,0.0009470917284488678,10.797340393066406,19.869
text,0.5,17,42017,0.0009315508650615811,10.797294616699219,19.46
text,0.5,18,42018,0.0009313413174822927,10.79733657836914,19.763
text,0.5,19,42019,0.0009317845106124878,10.79718017578125,19.57
text,0.5,20,42020,0.0009418936679139733,10.797675132751465,19.703
text,0.5,21,42021,0.0009349819738417864,10.797491073608398,19.64
text,0.5,22,42022,0.0009292422328144312,10.797176361083984,19.474
text,0.5,23,42023,0.000947925029322505,10.797353744506836,19.604
text,0.5,24,42024,0.0009333726484328508,10.797307968139648,19.781
text,0.5,25,42025,0.0009233815944753587,10.79732608795166,19.607
text,0.5,26,42026,0.0009307993459515274,10.797130584716797,21.604
text,0.5,27,42027,0.0009622955112718046,10.797350883483887,19.878
text,0.5,28,42028,0.0009314294438809156,10.797273635864258,19.69
text,0.5,29,42029,0.0009126103832386434,10.797602653503418,19.462
text,0.5,30,42030,0.0009525179630145431,10.797480583190918,19.509
text,0.5,31,42031,0.0009326641447842121,10.797601699829102,19.572
text,0.5,32,42032,0.0009417827241122723,10.797351837158203,19.546
text,0.5,33,42033,0.0009392891661264002,10.797094345092773,19.563
text,0.5,34,42034,0.000940541794989258,10.797369956970215,19.519
text,0.5,35,42035,0.0009409935446456075,10.797209739685059,19.494
text,0.5,36,42036,0.0009413208463229239,10.797664642333984,19.506
text,0.5,37,42037,0.000940196099691093,10.797337532043457,19.679
text,0.5,38,42038,0.0009297587675973773,10.79764175415039,19.716
text,0.5,39,42039,0.0009320437093265355,10.797662734985352,19.678
text,0.5,40,42040,0.0009130515391007066,10.797643661499023,19.701
